ID,Question Body,Choice 1,Choice 2,Choice 3,Choice 4,Key,Education Period,Grade Title,Level,Is Trap,Trap,Course Title,P0,P1,P2,P3,P4,Year,final_category_fa,Answer
18960,"دمای هوای تبریز در یک صبح زمستانی (6-) درجه است. اگر در این روز دمای هوای همدان 5 
 درجه گرم‌تر از تبریز و 2 درجه سردتر از تهران باشد. دمای هوای تهران چند درجه است؟",1,-3,-1,3,1.0,متوسطه 1,هفتم,ساده,True,",2,",ریاضی هفتم,5.0,57.0,25.0,7.0,6.0,1393,ریاضی دوره اول متوسطه,"دمای هوای همدان، درجه $(-6)+5=-1$ 
 دمای هوای تهران، درجه $(-1)+2=2+(-1)=+1$"
447,اگر در شاخص بهای کالا و خدمات، واحد اندازه‌گیری 2 برابر شود، آنگاه تغییرات مقدار این شاخص، کدام است؟,تغییر نمی‌کند.,نصف می‌شود.,دو برابر می‌شود.,قابل پیش‌بینی نیست.,1.0,متوسطه 2,یازدهم انسانى,نسبتا دشوار,False,,ریاضی و آمار 2 يازدهم انسانى,,,,,,1399,ریاضی و آمار دوره دوم متوسطه,"گزینه1 
 شاخص‌ بهای کالا به واحد اندازه‌گیری بستگی ندارد."
2501,مقدار انرژی آزاد شده (E) برحسب ارگ در یک زمین‌لرزه از رابطه $\log E=11/8+1/5M$ به دست می‌آید که در آن M واحد بزرگی زلزله برحسب ریشتر و E انرژی آزاد شده است. مقدار انرژی آزاد شده در یک زمین‌لرزه 6/2 ریشتری چند واحد است؟,${{10}^{21/7}}$,${{10}^{21/1}}$,${{10}^{21/5}}$,${{10}^{21/8}}$,2.0,متوسطه 2,یازدهم تجربي,ساده,False,,ریاضی 2 يازدهم تجربي,42.0,1.0,55.0,1.0,1.0,1397,ریاضی دوره دوم متوسطه,"$M=6/2\,$ 
 $\Rightarrow \log E=11/8+1/5(6/2)\Rightarrow \log E=21/1\Rightarrow E={{10}^{21/1}}$"
4472,"مریم %80 پولش را بلوز خرید و $\frac{1}{5}\,$ باقی‌مانده‌ی پولش را به دوستش داد. چند درصد از پول مریم باقی مانده است؟",صفر درصد,84%,16%,15%,3.0,دبستان 2,پنجم دبستان,متوسط,True,",1,",ریاضی پنجم دبستان,26.0,21.0,4.0,37.0,11.0,1396,ریاضی دوره دوم ابتدایی,"درصد باقی‌مانده بعد از خریدن بلوز   20 = 80 – 100 
 درصد پولی که به دوستش داد.    4% $\frac{1}{5}\times \frac{20}{100}=\frac{\overset{4}{\mathop{\not{20}}}\,}{\underset{1}{\mathop{{\not{5}}}}\,\times 100}=\frac{4}{100}=$ 
 درصد پولی که خرج کرد.   84 = 4 + 80 
 درصد پولی که برایش باقی ماند.   16 = 84 - 100"
6039,"با توجه به معادله‌های واکنش‌های داده شده، کدام واکنش‌ها می‌توانند به‌طور طبیعی انجام بگیرند؟ (عناصر$B$، $C$، $D$ و$E$ فلز هستند.) 
 انجام‌ناپذیر$b)\,CA+D\to $                        $a)\,\,BA+C\to CA+B$ 
 $d)\,\,DX+B\to BX+D$                      انجام‌ناپذیر $c)\,\,DA+E\to $ 
 $EA+B\rightarrow\;\;\;\;\;\;.III\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;CA+E\rightarrow\;\;\;\;\;.II\;\;\;\;\;\;\;BA+D\rightarrow\;\;\;\;.I$",$I$ و$II$,$I$ و$III$,$III$,$II$ و $III$,3.0,متوسطه 2,یازدهم تجربي,متوسط,False,,شیمی 2 يازدهم,68.0,2.0,3.0,23.0,3.0,1398,شیمی دوره دوم متوسطه,با توجه به معادله‌های واکنش‌های داده شده، مقایسه میزان واکنش‌پذیری فلزها به صورت «$C>B>D>E$» می‌باشد، پس فقط واکنش$(III)$ به‌طور طبیعی قابل انجام است.
20455,برای کدام‌یک از تحقیق‌های زیر با «مراجعه به کتاب‌خانه» نمی‌توان به اطلاعاتی دست یافت؟,میزان علاقه‌مندی دانش‌آموزان به برنامه‌ی کودک,تغذیه‌ی پنگوئن‌ها,تحقیق در مورد واژه‌ی «مشقّت»,تاریخچه‌ی شعر «نو»,1.0,دبستان 2,پنجم دبستان,ساده,False,,علوم تجربی پنجم دبستان,12.0,82.0,2.0,2.0,1.0,1396,علوم تجربی دوره دوم ابتدایی,"گزینه‌ی «1» 
 اطلاعات مربوط به میزان علاقه‌مندی دانش‌آموزان به برنامه‌ی کودک، باید با «نظرسنجی» گردآوری شود."
2150,نمودار تابع $f\left( x \right)=\frac{m{{x}^{3}}}{3}+\frac{\left( m+1 \right){{x}^{2}}}{2}+mx+m$ اکیداً صعودی است. حدود $m$ کدام است؟,"$\mathbb{R}-\left( -\frac{1}{3},1 \right)$","$\left[ -\frac{1}{3},1 \right]$","$\left[ 1,+\infty  \right)$","$\left( -\infty ,1 \right)$",3.0,متوسطه 2,دوازدهم رياضي,متوسط,False,,حسابان2,79.0,4.0,4.0,12.0,1.0,1398,حسابان دوره دوم متوسطه,"تابع پیوسته و مشتق‌پذیر $f\left( x \right)$ اکیداً صعودی است اگر و فقط اگر ${f}`\left( x \right)\ge 0$ باشد، به شرط آنکه نقاطی که در آن ${f}`$ صفر است، تشکیل پاره‌خط ندهند. 
 ${f}`\left( x \right)=m{{x}^{2}}+\left( m+1 \right)x+m\ge 0$ 
 برای اینکه نامساوی فوق همواره صحیح باشد، باید داشته باشیم: 
 $\left\{ \begin{align}  & m>0(1) \\  & \Delta \le 0\Rightarrow {{\left( m+1 \right)}^{2}}-4{{m}^{2}}\le 0\Rightarrow -3{{m}^{2}}+2m+1\le 0 \\ \end{align} \right.$ 
 $\Rightarrow \left( m-1 \right)\left( 3m+1 \right)\ge 0\Rightarrow \left\{ \begin{align}  & m\ge 1 \\  & m\le -\frac{1}{3} \\ \end{align} \right.(2)$ 
 $\xrightarrow{(1),(2)}m\in \left[ 1,+\infty  \right)$"
4192,"برای بررسی وضعیت اجتماعی و اقتصادی خانواده‌های یک شهر، در چند مورد از روش‌های نمونه‌گیری زیر، تمامی قشرهای جامعه، شانس حضور ندارند ؟ 
 الف) انتخاب خانوارها به صورت تصادفی از یک منطقه شهر 
 ب) انتخاب خانوارها به صورت تصادفی بر اساس رقم آخر شماره پلاک منازل 
 پ) انتخاب خانوارها به صورت تصادفی بر اساس رقم آخر کدپستی",1,2,3,صفر,1.0,متوسطه 2,دوازدهم انساني,متوسط,True,",3,",ریاضی وآمار3,64.0,13.0,7.0,10.0,6.0,1398,ریاضی و آمار دوره دوم متوسطه,نباید خانواده‌ها را به صورت تصادفی از یک منطقه انتخاب کرد؛ چون در این صورت تمامی مناطق، شانس حضور ندارند و همه قشرهای جامعه را دربر نمی‌گیرد؛ ولی اگر رقم آخر شماره پلاک منازل مدنظر باشند، همه مناطق شانس انتخاب شدن را دارند. همچنین انتخاب خانوار اگر بر اساس رقم آخر کدپستی باشد، همه قشرها شانس حضور دارند.
4894,معادله ${{x}_{1}}+{{x}_{2}}+{{x}_{3}}=17$ ، چند دسته جواب طبیعی فرد دارد؟,28,36,45,66,2.0,متوسطه 2,دوازدهم رياضي,متوسط,False,,ریاضیات گسسته,74.0,2.0,20.0,2.0,2.0,1398,ریاضیات گسسته دوره دوم متوسطه,"اگر $(1\le i\le 3){{x}_{i}}=2{{k}_{i}}+1$ انتخاب شود، آنگاه داریم: 
 $\begin{align}  & (2{{k}_{1}}+1)+(2{{k}_{2}}+1)+(2{{k}_{3}}+1)=17 \\  & \Rightarrow 2({{k}_{1}}+{{k}_{2}}+{{k}_{3}})=14\Rightarrow {{k}_{1}}+{{k}_{2}}+{{k}_{3}}=7 \\ \end{align}$ 
 تعداد جواب‌های صحیح و نامنفی معادله حاصل برابر است با: 
 $\begin{array}{l}\begin{pmatrix}7+3-1\\3-1\end{pmatrix}=\begin{pmatrix}9\\2\end{pmatrix}=36\\\\\end{array}$"
2616,اگر$A\subseteq B$،$P({A}`)=\frac{2}{3}$ و$P(B)=\frac{3}{4}$ باشد، حاصل$P({A}`|B)$ کدام است؟,$\frac{5}{12}$,$\frac{3}{7}$,$\frac{1}{2}$,$\frac{5}{9}$,4.0,متوسطه 2,دوازدهم تجربي,ساده,False,,ریاضی 3,51.0,3.0,2.0,3.0,41.0,1399,ریاضی دوره دوم متوسطه,"گزینه «4» 
 با توجه به$A\subseteq B$ داریم: 
 $P(B-A)=P(B)-P(A)$ 
 از طرفی$P(A)=1-P({A}`)=\frac{1}{3}$، پس: 
 $P({A}`\bigcap B)=P(B-A)=\frac{3}{4}-\frac{1}{3}=\frac{5}{12}$ 
 $P({A}`|B)=\frac{P({A}`\bigcap B)}{P(B)}=\frac{\frac{5}{12}}{\frac{3}{4}}=\frac{5}{9}$"
13477,چه عواملی مهم‌ترین نقش را در تعیین آب و هوایی یک منطقه دارند؟,نوع خاک و دمای هوا,دمای هوا و بارش,دمای هوا و پوشش گیاهی,نوع خاک و بارش,4.0,دبستان 2,چهارم دبستان,دشوار,False,,مطالعات اجتماعی چهارم دبستان,,,,,,1399,مطالعات اجتماعی دوره دوم ابتدایی,گزینه «2» _ در تعیین آب و هوایی یک منطقه، دمای هوا و بارش مهم‌ترین نقش را دارند.
1393,ظرفیت خازنی 5 میکروفاراد و بار الکتریکی آن $q$ است. اگر$3mC$ بار الکتریکی را از صفحه منفی جدا کرده و به صفحه مثبت منتقل کنیم. انرژی ذخیره شده در خازن به اندازه $4/5J$ افزایش می‌یابد. $q$ چند میلی کولن است؟,3,6,9,12,2.0,متوسطه 2,یازدهم رياضي,نسبتا دشوار,False,,فیزیک 2 يازدهم رياضي,,,,,,1400,فیزیک دوره دوم متوسطه,"گزینه «2» 
 با جدا کردن $3mC$ بار از صفحه منفی و انتقال به صفحه مثبت، بار ذخیره شده در خازن $3mC$ افزایش می‌یابد. 
 بنابراین: 
 ${{Q}_{2}}-{{Q}_{1}}=3mC\,\,(*)$ 
 با استفاده از رابطه انرژی ذخیره شده در خازن،‌ داریم: 
 $U=\frac12\frac{Q^2}C\Rightarrow\Delta U=\frac1{2C}\left(Q_2^2-Q_1^2\right)\Rightarrow\Delta U=\frac1{2C}\left(Q_2+Q_1\right)\left(Q_2-Q_1\right)$ 
 $\Rightarrow 4/5=\frac{1}{2\times 5\times {{10}^{-6}}}({{Q}_{2}}+{{Q}_{1}})\times 3\times {{10}^{-3}}\Rightarrow {{Q}_{2}}+{{Q}_{1}}=15\times {{10}^{-3}}C$ 
 $\Rightarrow {{Q}_{2}}+{{Q}_{1}}=15cm\,\,(**)$ 
 با حل هم‌زمان معادله‌های $(*)$ و $(**)$ داریم: 
 $\left\{\begin{array}{l}Q_2+Q_1=15mC\\Q_2-Q_1=3mC\end{array}\right.\Rightarrow\left\{\begin{array}{l}Q_1=6mC\\Q_2=9mC\end{array}\right.$"
11720,به‌ترتیب کدام شاعر در سرودن شعر مذهبی معروف و ترکیب‌بند عاشورایی او زبانزد است و کدام شاعر سبک هندی «خلاق‌المعانی ثانی» لقب گرفت؟,محتشم کاشانی ـ کلیم کاشانی,محتشم کاشانی ـ بابا فغانی شیرازی,کلیم کاشانی ـ بیدل دهلوی,کلیم کاشانی ـ محتشم کاشانی,1.0,متوسطه 2,یازدهم انسانى,ساده,False,,علوم و فنون ادبی 2 يازدهم,21.0,61.0,10.0,6.0,3.0,1396,زبان و ادبیات فارسی دوره دوم متوسطه,"محتشم کاشانی در سرودن شعر مذهبی معروف و ترکیب‌بند عاشورایی او زبانزد است. 
 کلیم کاشانی با به کار بردن مضمون‌های ابداعی فراوان «خلاق‌المعانی ثانی» نام گرفت."
4413,پدر مهسا برای جشن تولّد او، 3 کیک هم‌اندازه خرید. دوستان مهسا $2\frac{1}{4}$ کیک را خوردند. اگر خود مهسا $\frac{1}{6}$ یک کیک را بخورد، چه‌قدر کیک باقی می‌ماند؟,$2\frac{5}{12}$,$\frac{7}{12}$,$\frac{12}{7}$,$5\frac{5}{12}$,2.0,دبستان 2,پنجم دبستان,متوسط,True,",1,",ریاضی پنجم دبستان,29.0,20.0,39.0,7.0,5.0,1393,ریاضی دوره دوم ابتدایی,"گزینه‌ی «2» 
 کیک خورده شده   $2\frac{1}{4}+\frac{1}{6}=2\frac{3}{12}+\frac{2}{12}=2\frac{5}{12}$ 
 کیک باقی‌مانده    $1-\frac{5}{12}=\frac{12}{12}-\frac{5}{12}=\frac{7}{12}$ $2\frac{12}{12}-2\frac{5}{12}=$"
17041,"هر یک از قسمت‌های مشخص شده در بیت زیر، به‌ترتیب درباره‌ی‌ کدام فصل‌های سال هستند؟ 
 «اجزای خاک مرده ، به تأثیر آفتاب / بستان میوه و چمن و لاله‌زار کرد»",پاییز - تابستان,پاییز - بهار,زمستان - تابستان,زمستان - بهار,4.0,دبستان 2,پنجم دبستان,متوسط,False,,فارسی پنجم دبستان,12.0,5.0,14.0,14.0,55.0,1399,زبان و ادبیات فارسی دوره دوم ابتدایی,«خاک مرده» به فصل زمستان و «بستان میوه و چمن و لاله‌زار» به فصل بهار اشاره دارد.
13963,اگر از بالا به اتاقمان نگاه کنیم، همه‌ی موارد زیر را می‌بینیم، به‌جز ...,تخت‌خواب,کمد کتاب,کتاب‌های درون کمد,میز مطالعه,3.0,دبستان 2,چهارم دبستان,ساده,False,,مطالعات اجتماعی چهارم دبستان,6.0,4.0,5.0,83.0,3.0,1395,مطالعات اجتماعی دوره دوم ابتدایی,کتاب‌های درون کمد را نمی‌توانیم ببینیم.
15789,کودکان در چه سنی قادرند بدون کمک دیگران راه بروند؟,6 ماهگی,18 ماهگی,12 ماهگی,2 سالگی,3.0,متوسطه 2,یازدهم انسانى,متوسط,False,,روانشناسی يازدهم انسانى,,,,,,1397,روانشناسی دوره دوم متوسطه,"گزینه 3 
 کودک در سن 12 تا 15 ماهگی (1 سالگی) می‌تواند بدون کمک دیگران راه برود."
10011,کدام یک از عبارت‌های زیر به برتر بودن نیکی کردن اشاره ندارد ؟,و لاتَستَوی الحَسَنََةُ و لا السّیّئَةُ,اِدفَع بِالَّتی هِیَ اَحسَنُ,و الله یُحِّبُّ المحسنین,وَ فِی‌الاَرضِ آیاتٌ ... َافَلا تُبصِرون,4.0,دبستان 2,پنجم دبستان,دشوار,False,,هدیه های آسمان پنجم دبستان,24.0,10.0,9.0,13.0,44.0,1395,تعلیم و تربیت اسلامی دوره دوم ابتدایی,"گزینه ها‌ی «1،2 و 3» به برتر بودن نیکی اشاره دارند: 
 1) خوبی و بدی مساوی نیست. ← خوبی بالاتر است. 
 2) بدی را با نیکی کردن برطرف کن.←  خوبی بهتر است. 
 3) خدا نیکوکاران را دوست دارد. ← خوبی بهتر است. 
 امّا در گزینه‌‌‌ی «4» آیه‌ی «وَ فِی‌الاَرضِ آیاتٌ ...» نشانه‌های خداوند را بیان می‌کند."
12958,ابعاد جمعیت شهرنشینان، روستانشینان و عشایر ایران را کدام گزینه بهتر نشان می‌دهد؟,شهرنشینان بیشتر از روستانشینان، و روستانشینان بیشتر از عشایر,شهرنشینان بیشتر از عشایر، و عشایر بیشتر از روستانشینان,روستانشینان بیشتر از شهرنشینان، و شهرنشینان بیشتر از عشایر,روستانشینان بیشتر از عشایر، و عشایر بیشتر از شهرنشینان,1.0,متوسطه 1,هفتم,ساده,False,,مطالعات اجتماعی هفتم,8.0,83.0,3.0,4.0,2.0,1396,مطالعات اجتماعی دوره اول متوسطه,در ایران، تعداد شهرنشینان بیشتر از تعداد روستانشینان، و تعداد روستانشینان بیشتر از تعداد عشایر است.
2153,مشتق تابع$y={{(\sqrt{\frac{x+3}{2x+1}})}^{3}}$ در نقطه$x=1$ کدام است؟,"$\frac{-5\,\sqrt{3}}{9}$","$\frac{-3\,\sqrt{3}}{5}$","$\frac{5\,\sqrt{3}}{2}$","$\frac{3\,\sqrt{3}}{4}$",1.0,متوسطه 2,دوازدهم رياضي,متوسط,False,,حسابان2,54.0,16.0,10.0,10.0,9.0,1401,حسابان دوره دوم متوسطه,"گزینة «1» 
 $y={{(\sqrt{\frac{x+3}{2x+1}})}^{3}}$ 
 $\Rightarrow {y}`=3(\sqrt{\frac{x+3}{2x+1}}{)}`{{(\sqrt{\frac{x+3}{2x+1}})}^{2}}$ 
 $=3(\frac{\frac{1\,(2x+1)-2(x+3)}{{{(2x+1)}^{2}}}}{2\,\sqrt{\frac{x+3}{2x+1}}})\,{{(\sqrt{\frac{x+3}{2x+1}})}^{2}}$ 
 $x=1\Rightarrow {y}`=3(\frac{\frac{1\,(3)-2(4)}{9}}{2\,\sqrt{\frac{4}{3}}})\,{{(\sqrt{\frac{4}{3}})}^{2}}=\frac{-5\,\sqrt{3}}{9}$"
3282,کدام یک از دوران‌های زیر در جهت عقربه‌های ساعت شکل را به موقعیت اولیه‌ی خود باز می‌گرداند؟,6 دوران 120 درجه,5 دوران 180 درجه,2 دوران 90 درجه,4 دوران 120 درجه,1.0,دبستان 2,ششم دبستان,متوسط,True,",3,",ریاضی ششم دبستان,31.0,31.0,10.0,21.0,7.0,1395,ریاضی دوره دوم ابتدایی,دوران 360 درجه یعنی چرخش کامل شکل و بازگشت به موقعیت اولیه آن، بنابراین درگزینه‌ی «1» 6 دوران 120 درجه می‌شود 720 درجه یعنی 2 بار دوران 360 درجه.
7958,در مدل آرمانی و ساده‌شده یک شاره در حال حرکت و بدون تلاطم، فرض می‌کنیم که شاره …… است و گران‌روی ……,تراکم‌پذیر _ ندارد.,تراکم‌ناپذیر _ ندارد.,تراکم‌پذیر _ دارد.,تراکم‌ناپذیر _ دارد.,2.0,متوسطه 2,دهم تجربي,متوسط,False,,فیزیک 1  دهم تجربی,45.0,13.0,32.0,4.0,5.0,1400,فیزیک دوره دوم متوسطه,"گزينة «2» 
 در مدل آرمانی و ساده‌شدة یک شارة در حال حرکت و بدون تلاطم، فرض می‌کنیم که شاره تراکم‌ناپذیر با چگالی ثابت است و گران‌روی (اصطکاک داخلی) ندارد."
